Year,Pollutant,Location,Value
Jharsuguda,TRL Colony Premises,105,115,58,8.6,14.4,24.9,23.3,110,Moderate
Jharsuguda,Maa Samaleswari Nagar,78,104,49,8.3,13.1,23.8,BDL,103,Moderate

Kalinga Nagar,BRPL Guest House,74,92,41,6.6,13.3,32.0,23.1,92,Satisfactory
Kalinga Nagar,SPCB Office,87,98,49,6.6,13.0,30.0,22.9,98,Satisfactory
Kalinga Nagar,DET Hostel Tata Steel,89,103,49,6.5,25.2,31.4,22.3,102,Satisfactory

Keonjhar,SPCB Office Baniapat,102,97,50,BDL,11.8,33.6,NA,97,Satisfactory

Konark,Konark Police Station,104,64,28,BDL,12.1,33.4,24.5,64,Satisfactory

Paradeep,PPL Guest House,103,93,45,14.9,10.2,113,BDL,93,Satisfactory
Paradeep,IFFCO STP Area,103,93,45,15.9,11.4,126,22.2,93,Satisfactory
Paradeep,Paradeep Port Trust Colony,103,83,40,13.8,11.5,109,BDL,83,Satisfactory

Puri,Sadar Police Station,110,88,26,BDL,12.8,41.8,BDL,88,Satisfactory
Puri,Town Police Station,110,97,26,BDL,12.5,41.8,BDL,97,Satisfactory

Rayagada,SPCB Office Indiranagar,98,76,30,5.3,16.6,29.4,22.5,76,Satisfactory
Rayagada,LPS High School Jaykaypur,98,83,34,10.4,20.3,35.1,24.4,83,Satisfactory

Rajgangpur,DISIR Rajgangpur,104,110,44,12.4,15.2,20.6,26.0,107,Moderate

Rourkela,Town Engg Office Sector 5,104,116,51,12.0,13.4,23.0,25.5,111,Moderate
Rourkela,IDL Outpost,104,137,68,10.3,13.4,25.6,24.3,127,Moderate
Rourkela,IDCO Water Tank Kalunga,104,185,53,12.1,15.4,25.0,26.1,157,Moderate
Rourkela,Kuarmunda Outpost,104,172,46,11.7,13.3,24.6,27.0,148,Moderate

Sambalpur,PHD Office Modipara,104,112,44,7.8,24.7,BDL,BDL,108,Moderate
